Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 44
EXCHANGE_ACCEPT 16 (16) 17 (17) RUN 0
EXCHANGE_ACCEPT 22 (22) 23 (23) RUN 0EXCHANGE_ACCEPT 38 (38) 39 (39) RUN 0

EXCHANGE_ACCEPT 40 (40) 41 (41) RUN 0
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 1
EXCHANGE_ACCEPT 5 (5) 6 (6) RUN 1
EXCHANGE_ACCEPT 16 (17) 17 (16) RUN 2
EXCHANGE_ACCEPT 28 (28) 29 (29) RUN 2
EXCHANGE_ACCEPT 11 (11) 12 (12) RUN 3
EXCHANGE_ACCEPT 33 (33) 34 (34) RUN 3
EXCHANGE_ACCEPT 17 (17) 18 (18) RUN 3
EXCHANGE_ACCEPT 37 (37) 38 (39) RUN 3
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 3
EXCHANGE_ACCEPT 0 (0) 1 (1) RUN 4
EXCHANGE_ACCEPT 16 (16) 17 (18) RUN 4
EXCHANGE_ACCEPT 40 (41) 41 (40) RUN 4
EXCHANGE_ACCEPT 42 (42) 43 (43) RUN 4
EXCHANGE_ACCEPT 23 (22) 24 (24) RUN 5
EXCHANGE_ACCEPT 17 (16) 18 (17) RUN 5
EXCHANGE_ACCEPT 33 (34) 34 (33) RUN 5
EXCHANGE_ACCEPT 43 (42) 44 (44) RUN 5
EXCHANGE_ACCEPT 16 (18) 17 (17) RUN 6
EXCHANGE_ACCEPT 23 (24) 24 (22) RUN 7
EXCHANGE_ACCEPT 15 (15) 16 (17) RUN 7
EXCHANGE_ACCEPT 11 (12) 12 (11) RUN 7
EXCHANGE_ACCEPT 17 (18) 18 (16) RUN 7
EXCHANGE_ACCEPT 41 (41) 42 (43) RUN 7
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 7
EXCHANGE_ACCEPT 26 (26) 27 (27) RUN 8
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 8
EXCHANGE_ACCEPT 18 (18) 19 (19) RUN 8
EXCHANGE_ACCEPT 36 (36) 37 (39) RUN 8
EXCHANGE_ACCEPT 17 (15) 18 (19) RUN 9
EXCHANGE_ACCEPT 43 (42) 44 (44) RUN 9
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 10
EXCHANGE_ACCEPT 16 (16) 17 (19) RUN 10
EXCHANGE_ACCEPT 38 (37) 39 (38) RUN 10
EXCHANGE_ACCEPT 9 (9) 10 (10) RUN 11EXCHANGE_ACCEPT 11 (11) 12 (12) RUN 11

EXCHANGE_ACCEPT 39 (37) 40 (40) RUN 11
EXCHANGE_ACCEPT 41 (43) 42 (41) RUN 11
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 11
EXCHANGE_ACCEPT 16 (19) 17 (16) RUN 12EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 12

EXCHANGE_ACCEPT 22 (23) 23 (22) RUN 12
EXCHANGE_ACCEPT 38 (38) 39 (40) RUN 12
EXCHANGE_ACCEPT 43 (42) 44 (44) RUN 13
EXCHANGE_ACCEPT 16 (16) 17 (19) RUN 14
EXCHANGE_ACCEPT 34 (34) 35 (35) RUN 14
EXCHANGE_ACCEPT 32 (32) 33 (33) RUN 14
EXCHANGE_ACCEPT 9 (10) 10 (9) RUN 15
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 15
EXCHANGE_ACCEPT 4 (4) 5 (6) RUN 16
EXCHANGE_ACCEPT 16 (19) 17 (16) RUN 16
EXCHANGE_ACCEPT 42 (43) 43 (42) RUN 16
EXCHANGE_ACCEPT 34 (35) 35 (34) RUN 16
EXCHANGE_ACCEPT 11 (12) 12 (11) RUN 17
EXCHANGE_ACCEPT 17 (19) 18 (15) RUN 17
EXCHANGE_ACCEPT 19 (18) 20 (20) RUN 17
EXCHANGE_ACCEPT 23 (23) 24 (24) RUN 17
EXCHANGE_ACCEPT 39 (38) 40 (37) RUN 17
EXCHANGE_ACCEPT 41 (41) 42 (42) RUN 17
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 17
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 18
EXCHANGE_ACCEPT 38 (40) 39 (37) RUN 18
EXCHANGE_ACCEPT 3 (3) 4 (6) RUN 19
EXCHANGE_ACCEPT 5 (4) 6 (5) RUN 19
EXCHANGE_ACCEPT 9 (9) 10 (10) RUN 19
EXCHANGE_ACCEPT 23 (24) 24 (23) RUN 19
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 19
EXCHANGE_ACCEPT 41 (42) 42 (41) RUN 19
EXCHANGE_ACCEPT 39 (40) 40 (38) RUN 19
EXCHANGE_ACCEPT 29 (28) 30 (30) RUN 19
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 20
EXCHANGE_ACCEPT 24 (24) 25 (25) RUN 20
EXCHANGE_ACCEPT 26 (27) 27 (26) RUN 20
