Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_002/0/job2.0.log through 44
EXCHANGE_ACCEPT 42 (43) 43 (35) RUN 6300
EXCHANGE_ACCEPT 6 (3) 7 (12) RUN 6300
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6300
EXCHANGE_ACCEPT 37 (41) 38 (44) RUN 6301
EXCHANGE_ACCEPT 33 (40) 34 (34) RUN 6301
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6301
EXCHANGE_ACCEPT 41 (42) 42 (35) RUN 6301
EXCHANGE_ACCEPT 32 (36) 33 (34) RUN 6302EXCHANGE_ACCEPT 34 (40) 35 (27) RUN 6302

EXCHANGE_ACCEPT 20 (20) 21 (18) RUN 6302
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6302
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6303
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6304
EXCHANGE_ACCEPT 41 (35) 42 (42) RUN 6305
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6305
EXCHANGE_ACCEPT 21 (20) 22 (22) RUN 6305
EXCHANGE_ACCEPT 23 (17) 24 (23) RUN 6305
EXCHANGE_ACCEPT 0 (1) 1 (2) RUN 6306
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6306
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6307
EXCHANGE_ACCEPT 17 (15) 18 (25) RUN 6307
EXCHANGE_ACCEPT 42 (35) 43 (43) RUN 6308
EXCHANGE_ACCEPT 40 (39) 41 (42) RUN 6308
EXCHANGE_ACCEPT 28 (28) 29 (24) RUN 6308
EXCHANGE_ACCEPT 16 (21) 17 (25) RUN 6308
EXCHANGE_ACCEPT 20 (18) 21 (22) RUN 6308
EXCHANGE_ACCEPT 43 (35) 44 (30) RUN 6309
EXCHANGE_ACCEPT 41 (39) 42 (43) RUN 6309
EXCHANGE_ACCEPT 39 (37) 40 (42) RUN 6309
EXCHANGE_ACCEPT 17 (21) 18 (15) RUN 6309
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6310
EXCHANGE_ACCEPT 43 (30) 44 (35) RUN 6311
EXCHANGE_ACCEPT 39 (42) 40 (37) RUN 6311
EXCHANGE_ACCEPT 33 (36) 34 (27) RUN 6311
EXCHANGE_ACCEPT 17 (25) 18 (21) RUN 6311
EXCHANGE_ACCEPT 42 (39) 43 (35) RUN 6312
EXCHANGE_ACCEPT 40 (42) 41 (43) RUN 6312
EXCHANGE_ACCEPT 28 (24) 29 (28) RUN 6312
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6312
EXCHANGE_ACCEPT 26 (29) 27 (31) RUN 6312
EXCHANGE_ACCEPT 43 (39) 44 (30) RUN 6313
EXCHANGE_ACCEPT 41 (42) 42 (35) RUN 6313
EXCHANGE_ACCEPT 40 (43) 41 (35) RUN 6314
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6314
EXCHANGE_ACCEPT 18 (25) 19 (16) RUN 6314
EXCHANGE_ACCEPT 37 (44) 38 (41) RUN 6315
EXCHANGE_ACCEPT 43 (30) 44 (39) RUN 6315
EXCHANGE_ACCEPT 41 (43) 42 (42) RUN 6315
EXCHANGE_ACCEPT 29 (24) 30 (32) RUN 6315
EXCHANGE_ACCEPT 42 (43) 43 (39) RUN 6316
EXCHANGE_ACCEPT 40 (35) 41 (42) RUN 6316
EXCHANGE_ACCEPT 28 (28) 29 (32) RUN 6316
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6316
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6317
EXCHANGE_ACCEPT 23 (23) 24 (17) RUN 6317
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6318
EXCHANGE_ACCEPT 28 (32) 29 (28) RUN 6318
EXCHANGE_ACCEPT 41 (35) 42 (39) RUN 6319
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6319
EXCHANGE_ACCEPT 33 (27) 34 (36) RUN 6319
EXCHANGE_ACCEPT 40 (42) 41 (39) RUN 6320
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6320
EXCHANGE_ACCEPT 18 (16) 19 (25) RUN 6320
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6321
EXCHANGE_ACCEPT 29 (32) 30 (24) RUN 6321
EXCHANGE_ACCEPT 17 (15) 18 (25) RUN 6321
EXCHANGE_ACCEPT 19 (16) 20 (22) RUN 6321
EXCHANGE_ACCEPT 23 (17) 24 (23) RUN 6321
EXCHANGE_ACCEPT 42 (35) 43 (30) RUN 6322
EXCHANGE_ACCEPT 16 (21) 17 (25) RUN 6322
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 6323
EXCHANGE_ACCEPT 37 (41) 38 (44) RUN 6323
EXCHANGE_ACCEPT 33 (36) 34 (27) RUN 6323
EXCHANGE_ACCEPT 19 (22) 20 (16) RUN 6323
EXCHANGE_ACCEPT 36 (38) 37 (44) RUN 6324
EXCHANGE_ACCEPT 6 (12) 7 (3) RUN 6324
EXCHANGE_ACCEPT 16 (25) 17 (21) RUN 6324
EXCHANGE_ACCEPT 22 (20) 23 (23) RUN 6324
EXCHANGE_ACCEPT 43 (43) 44 (35) RUN 6325
EXCHANGE_ACCEPT 42 (30) 43 (35) RUN 6326
EXCHANGE_ACCEPT 40 (39) 41 (42) RUN 6326
EXCHANGE_ACCEPT 16 (21) 17 (25) RUN 6326
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6327
EXCHANGE_ACCEPT 23 (20) 24 (17) RUN 6327
EXCHANGE_ACCEPT 30 (32) 31 (33) RUN 6328
EXCHANGE_ACCEPT 16 (25) 17 (21) RUN 6328
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6329
EXCHANGE_ACCEPT 33 (27) 34 (36) RUN 6329
EXCHANGE_ACCEPT 40 (42) 41 (39) RUN 6330
EXCHANGE_ACCEPT 6 (3) 7 (12) RUN 6330
EXCHANGE_ACCEPT 36 (44) 37 (38) RUN 6330
EXCHANGE_ACCEPT 16 (21) 17 (25) RUN 6330
EXCHANGE_ACCEPT 20 (22) 21 (18) RUN 6330
EXCHANGE_ACCEPT 22 (23) 23 (17) RUN 6330
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6331
EXCHANGE_ACCEPT 39 (37) 40 (39) RUN 6331
EXCHANGE_ACCEPT 25 (26) 26 (31) RUN 6331
EXCHANGE_ACCEPT 42 (35) 43 (43) RUN 6332
EXCHANGE_ACCEPT 16 (25) 17 (21) RUN 6332
EXCHANGE_ACCEPT 20 (18) 21 (22) RUN 6332
EXCHANGE_ACCEPT 43 (35) 44 (30) RUN 6333
EXCHANGE_ACCEPT 39 (39) 40 (37) RUN 6333
EXCHANGE_ACCEPT 25 (31) 26 (26) RUN 6333
EXCHANGE_ACCEPT 23 (23) 24 (20) RUN 6333
EXCHANGE_ACCEPT 36 (38) 37 (44) RUN 6334
EXCHANGE_ACCEPT 16 (21) 17 (25) RUN 6334
EXCHANGE_ACCEPT 43 (30) 44 (35) RUN 6335
EXCHANGE_ACCEPT 36 (44) 37 (38) RUN 6336
EXCHANGE_ACCEPT 38 (41) 39 (37) RUN 6336
EXCHANGE_ACCEPT 42 (43) 43 (35) RUN 6336
EXCHANGE_ACCEPT 40 (39) 41 (42) RUN 6336
EXCHANGE_ACCEPT 32 (34) 33 (36) RUN 6336
EXCHANGE_ACCEPT 16 (25) 17 (21) RUN 6336
EXCHANGE_ACCEPT 20 (22) 21 (18) RUN 6336
EXCHANGE_ACCEPT 26 (31) 27 (29) RUN 6336
EXCHANGE_ACCEPT 41 (39) 42 (35) RUN 6337
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6337
EXCHANGE_ACCEPT 17 (25) 18 (15) RUN 6337
EXCHANGE_ACCEPT 42 (39) 43 (30) RUN 6338
EXCHANGE_ACCEPT 38 (37) 39 (41) RUN 6338
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6338
EXCHANGE_ACCEPT 18 (25) 19 (16) RUN 6338
EXCHANGE_ACCEPT 43 (39) 44 (43) RUN 6339
EXCHANGE_ACCEPT 41 (35) 42 (30) RUN 6339
EXCHANGE_ACCEPT 42 (35) 43 (43) RUN 6340
EXCHANGE_ACCEPT 36 (38) 37 (44) RUN 6340
EXCHANGE_ACCEPT 34 (27) 35 (40) RUN 6340
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6340
EXCHANGE_ACCEPT 18 (16) 19 (25) RUN 6340
EXCHANGE_ACCEPT 30 (33) 31 (32) RUN 6340
EXCHANGE_ACCEPT 22 (17) 23 (20) RUN 6340
EXCHANGE_ACCEPT 43 (35) 44 (39) RUN 6341
EXCHANGE_ACCEPT 19 (16) 20 (18) RUN 6341
EXCHANGE_ACCEPT 42 (43) 43 (39) RUN 6342
EXCHANGE_ACCEPT 38 (41) 39 (37) RUN 6342
EXCHANGE_ACCEPT 30 (32) 31 (33) RUN 6342
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6342
EXCHANGE_ACCEPT 41 (30) 42 (39) RUN 6343
EXCHANGE_ACCEPT 43 (43) 44 (35) RUN 6343
EXCHANGE_ACCEPT 19 (18) 20 (16) RUN 6343
EXCHANGE_ACCEPT 23 (17) 24 (23) RUN 6343
EXCHANGE_ACCEPT 38 (37) 39 (41) RUN 6344
EXCHANGE_ACCEPT 34 (40) 35 (27) RUN 6344
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6344
EXCHANGE_ACCEPT 20 (18) 21 (22) RUN 6344
EXCHANGE_ACCEPT 22 (20) 23 (23) RUN 6344
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 6345
EXCHANGE_ACCEPT 9 (10) 10 (7) RUN 6345
EXCHANGE_ACCEPT 31 (32) 32 (36) RUN 6345
EXCHANGE_ACCEPT 23 (20) 24 (17) RUN 6345
EXCHANGE_ACCEPT 4 (5) 5 (0) RUN 6346
EXCHANGE_ACCEPT 36 (44) 37 (38) RUN 6346
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6346
EXCHANGE_ACCEPT 28 (28) 29 (24) RUN 6346
EXCHANGE_ACCEPT 20 (22) 21 (18) RUN 6346
EXCHANGE_ACCEPT 43 (43) 44 (35) RUN 6347
EXCHANGE_ACCEPT 33 (34) 34 (27) RUN 6347
EXCHANGE_ACCEPT 31 (36) 32 (32) RUN 6347
EXCHANGE_ACCEPT 17 (21) 18 (25) RUN 6347
EXCHANGE_ACCEPT 42 (30) 43 (35) RUN 6348
EXCHANGE_ACCEPT 40 (42) 41 (39) RUN 6348
EXCHANGE_ACCEPT 36 (38) 37 (44) RUN 6348
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6348
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6349
EXCHANGE_ACCEPT 33 (27) 34 (34) RUN 6349
EXCHANGE_ACCEPT 25 (26) 26 (29) RUN 6349
EXCHANGE_ACCEPT 36 (44) 37 (38) RUN 6350
EXCHANGE_ACCEPT 38 (41) 39 (37) RUN 6350
EXCHANGE_ACCEPT 28 (24) 29 (28) RUN 6350
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6350
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6351
EXCHANGE_ACCEPT 42 (35) 43 (30) RUN 6352
EXCHANGE_ACCEPT 36 (38) 37 (44) RUN 6352
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6352
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 6353
EXCHANGE_ACCEPT 21 (22) 22 (23) RUN 6353
EXCHANGE_ACCEPT 42 (30) 43 (43) RUN 6354
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6354
EXCHANGE_ACCEPT 3 (8) 4 (0) RUN 6355
EXCHANGE_ACCEPT 43 (30) 44 (35) RUN 6355
EXCHANGE_ACCEPT 38 (37) 39 (41) RUN 6356
EXCHANGE_ACCEPT 42 (43) 43 (35) RUN 6356
EXCHANGE_ACCEPT 40 (39) 41 (42) RUN 6356
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6356
EXCHANGE_ACCEPT 18 (21) 19 (16) RUN 6356
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6357
EXCHANGE_ACCEPT 37 (38) 38 (41) RUN 6357
EXCHANGE_ACCEPT 39 (37) 40 (42) RUN 6357
EXCHANGE_ACCEPT 21 (23) 22 (22) RUN 6357
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6358
EXCHANGE_ACCEPT 18 (16) 19 (21) RUN 6358
EXCHANGE_ACCEPT 41 (39) 42 (35) RUN 6359
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6359
EXCHANGE_ACCEPT 9 (7) 10 (10) RUN 6359
EXCHANGE_ACCEPT 17 (25) 18 (21) RUN 6359
EXCHANGE_ACCEPT 42 (39) 43 (43) RUN 6360
EXCHANGE_ACCEPT 40 (37) 41 (35) RUN 6360
EXCHANGE_ACCEPT 28 (28) 29 (24) RUN 6360
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6360
EXCHANGE_ACCEPT 18 (25) 19 (16) RUN 6360
EXCHANGE_ACCEPT 22 (23) 23 (17) RUN 6360
